x1,x2,x3,x4,x5,x6,x7,actual y1,actual y2,actual y3,,theta values for y1,0.91572896,-1.80012011,7.54930852,0.32024571,-0.368518,1.10706391,0.20249522,predicted y1,,theta vaues for y2,-0.00065351,0.03896763,0.10953545,-0.04470035,-0.07602909,0.64768152,-0.00427916,predicted y2,,theta values for y3,-0.04240549,-0.03878085,0.00791711,0.0058794,-0.04304734,0.63151059,-0.04253519,predicted y3,,,
43.33333333,16.66666667,1.333333333,0,4.666666667,6.666666667,27.33333333,28,4.6,0.46,,,39.68158826,-30.00200184,10.06574469,0,-1.719750667,7.380426067,5.534869346,30.94087586,,,-0.028318767,0.6494605,0.146047267,0,-0.35480242,4.3178768,-0.116963707,4.613299674,,,-1.837571233,-0.6463475,0.010556147,0,-0.200887587,4.2100706,-1.162628527,0.3731919,,,predicted y3 = 0.350903
43.33333333,16.66666667,0.666666667,1,4.666666667,6.666666667,28,17,4.2,0.28,,,39.68158826,-30.00200184,5.032872349,0.32024571,-1.719750667,7.380426067,5.66986616,26.36324604,,,-0.028318767,0.6494605,0.073023633,-0.04470035,-0.35480242,4.3178768,-0.11981648,4.492722917,,,-1.837571233,-0.6463475,0.005278073,0.0058794,-0.200887587,4.2100706,-1.19098532,0.345436434,,,
43.33333333,13.33333333,1,1,4.666666667,6.666666667,31,43,4,0.26,,,39.68158826,-24.00160146,7.54930852,0.32024571,-1.719750667,7.380426067,6.27735182,35.48756825,,,-0.028318767,0.5195684,0.10953545,-0.04470035,-0.35480242,4.3178768,-0.13265396,4.386505153,,,-1.837571233,-0.517078,0.00791711,0.0058794,-0.200887587,4.2100706,-1.31859089,0.3497394,,,
43.33333333,16.66666667,1,1,4.666666667,6.666666667,27.66666667,29,4,0.25,,,39.68158826,-30.00200184,7.54930852,0.32024571,-1.719750667,7.380426067,5.602367754,28.81218381,,,-0.028318767,0.6494605,0.10953545,-0.04470035,-0.35480242,4.3178768,-0.118390093,4.53066112,,,-1.837571233,-0.6463475,0.00791711,0.0058794,-0.200887587,4.2100706,-1.176806923,0.362253867,,,
43.33333333,16.66666667,1.333333333,1,4.666666667,6.666666667,27.33333333,28,4.3,0.42,,,39.68158826,-30.00200184,10.06574469,0.32024571,-1.719750667,7.380426067,5.534869346,31.26112157,,,-0.028318767,0.6494605,0.146047267,-0.04470035,-0.35480242,4.3178768,-0.116963707,4.568599324,,,-1.837571233,-0.6463475,0.010556147,0.0058794,-0.200887587,4.2100706,-1.162628527,0.3790713,,,
50,16.66666667,0.666666667,0,4.666666667,6.666666667,21.33333333,33,5.1,0.35,,,45.786448,-30.00200184,5.032872349,0,-1.719750667,7.380426067,4.319898026,30.79789194,,,-0.0326755,0.6494605,0.073023633,0,-0.35480242,4.3178768,-0.091288747,4.561594267,,,-2.1202745,-0.6463475,0.005278073,0,-0.200887587,4.2100706,-0.907417387,0.3404217,,,
50,16.66666667,1,0,4.666666667,6.666666667,21,45,5.5,0.26,,,45.786448,-30.00200184,7.54930852,0,-1.719750667,7.380426067,4.25239962,33.2468297,,,-0.0326755,0.6494605,0.10953545,0,-0.35480242,4.3178768,-0.08986236,4.59953247,,,-2.1202745,-0.6463475,0.00791711,0,-0.200887587,4.2100706,-0.89323899,0.357239133,,,
50,16.66666667,0.666666667,1,4.666666667,6.666666667,21.33333333,34,5,0.21,,,45.786448,-30.00200184,5.032872349,0.32024571,-1.719750667,7.380426067,4.319898026,31.11813765,,,-0.0326755,0.6494605,0.073023633,-0.04470035,-0.35480242,4.3178768,-0.091288747,4.516893917,,,-2.1202745,-0.6463475,0.005278073,0.0058794,-0.200887587,4.2100706,-0.907417387,0.3463011,,,
50,16.66666667,1,1,4.666666667,6.666666667,21,44,4.8,0.24,,,45.786448,-30.00200184,7.54930852,0.32024571,-1.719750667,7.380426067,4.25239962,33.56707541,,,-0.0326755,0.6494605,0.10953545,-0.04470035,-0.35480242,4.3178768,-0.08986236,4.55483212,,,-2.1202745,-0.6463475,0.00791711,0.0058794,-0.200887587,4.2100706,-0.89323899,0.363118533,,,
66.66666667,16.66666667,0.666666667,0,4.666666667,6.666666667,4.666666667,52,5,0.31,,,61.04859734,-30.00200184,5.032872349,0,-1.719750667,7.380426067,0.944977693,42.68512094,,,-0.043567333,0.6494605,0.073023633,0,-0.35480242,4.3178768,-0.019969413,4.622021767,,,-2.827032667,-0.6463475,0.005278073,0,-0.200887587,4.2100706,-0.198497553,0.342583367,,,
